Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
7.82e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
7.89333e+09,Resistance,2.90632,0.0679393,2.90632
7.89333e+09,Inductance,1.12809e-08,5.93956e-10,1.12809e-08
7.89333e+09,Conductance,0.00279964,-0.000147833,0.00279964
7.89333e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
7.96667e+09,Resistance,2.92016,0.0684204,2.92016
7.96667e+09,Inductance,1.12806e-08,5.93951e-10,1.12806e-08
7.96667e+09,Conductance,0.00282552,-0.000149251,0.00282552
7.96667e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
8.04e+09,Resistance,2.93362,0.0676006,2.93362
